Number_of_announcements,Number_of_withdrawals,Number_of_announced_NLRI_prefixes,Number_of_withdrawn_NLRI_prefixes,Average_AS-path_length,Maximum_AS-path_length,Average_unique_AS-path_length,Number_of_duplicate_announcements,Number_of_duplicate_withdrawals,Number_of_implicit_withdrawals,Average_edit_distance,Maximum_edit_distance,Inter-arrival_time,Maximum_edit_distance_7,Maximum_edit_distance_8,Maximum_edit_distance_9,Maximum_edit_distance_10,Maximum_edit_distance_11,Maximum_edit_distance_12,Maximum_edit_distance_13,Maximum_edit_distance_14,Maximum_edit_distance_15,Maximum_edit_distance_16,Maximum_edit_distance_17,Maximum_AS-path_length_7,Maximum_AS-path_length_8,Maximum_AS-path_length_9,Maximum_AS-path_length_10,Maximum_AS-path_length_11,Maximum_AS-path_length_12,Maximum_AS-path_length_13,Maximum_AS-path_length_14,Maximum_AS-path_length_15,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_Exterior_Gateway_Protocol_EGP_packets,Number_of_incomplete_packets,Packet_size_bytes,Anomalous,type,category
50,6,292,15,6,12,6,365,150,16,6,0.8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,8582,-1,normal,BCNET_regular
43,6,169,9,6,12,6,178,118,11,7,0.7,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44,0,0,8959,-1,normal,BCNET_regular
45,7,238,20,6,11,6,243,122,24,7,0.7,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0,0,7731,-1,normal,BCNET_regular
51,6,234,13,6,17,6,245,135,14,8,0.8,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,53,0,0,7902,-1,normal,BCNET_regular
48,8,229,51,5,12,5,256,109,72,8,0.8,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,0,0,8221,-1,normal,BCNET_regular
61,8,174,14,6,12,6,182,93,21,7,100,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,0,0,7811,-1,normal,BCNET_regular
71,10,319,20,6,15,6,331,352,35,6,1.2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,9097,-1,normal,BCNET_regular
80,8,767,19,6,11,6,774,930,28,7,1.3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,82,0,0,9902,-1,normal,BCNET_regular
60,9,405,32,6,11,6,404,177,40,7,100,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61,0,0,9434,-1,normal,BCNET_regular
50,9,260,31,6,12,6,297,267,44,6,0.8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,8595,-1,normal,BCNET_regular
66,8,390,33,6,14,6,496,157,39,7,1.1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68,0,0,8621,-1,normal,BCNET_regular
63,11,426,16,6,17,6,454,362,20,7,1.1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,68,0,0,9142,-1,normal,BCNET_regular
65,8,481,31,5,10,6,520,161,38,7,1.1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68,0,0,9075,-1,normal,BCNET_regular
54,10,314,16,6,14,6,437,320,26,9,0.9,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57,0,0,8241,-1,normal,BCNET_regular
73,11,373,27,6,11,6,382,300,32,7,1.2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,0,0,7884,-1,normal,BCNET_regular
56,9,417,92,6,11,6,603,606,155,9,0.9,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59,0,0,8445,-1,normal,BCNET_regular
64,7,496,42,6,12,6,505,501,47,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,9264,-1,normal,BCNET_regular
49,5,366,8,5,7,5,384,182,9,6,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,8174,-1,normal,BCNET_regular
54,8,522,124,5,12,5,537,530,185,6,0.9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,9316,-1,normal,BCNET_regular
47,4,206,12,6,12,6,330,101,15,6,0.7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,7408,-1,normal,BCNET_regular
57,6,255,8,6,14,6,354,118,8,7,0.9,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,0,0,7582,-1,normal,BCNET_regular
52,8,187,21,6,14,6,209,111,30,6,0.8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,7749,-1,normal,BCNET_regular
46,7,115,13,6,12,5,126,86,15,6,0.8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,6724,-1,normal,BCNET_regular
50,10,134,21,5,10,5,136,135,24,6,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,7818,-1,normal,BCNET_regular
52,6,180,17,6,17,6,206,135,24,6,0.9,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,7739,-1,normal,BCNET_regular
58,5,561,12,6,12,5,623,275,12,6,0.9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,10413,-1,normal,BCNET_regular
65,8,306,35,6,25,6,370,226,54,7,1.1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68,0,0,9222,-1,normal,BCNET_regular
59,4,236,67,6,12,6,254,245,125,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,9389,-1,normal,BCNET_regular
76,5,364,9,6,13,6,398,461,11,8,1.2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,77,0,0,7913,-1,normal,BCNET_regular
70,10,394,43,6,11,6,418,273,61,8,1.1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,72,0,0,9078,-1,normal,BCNET_regular
67,9,336,30,5,12,6,343,333,40,6,1.1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,8319,-1,normal,BCNET_regular
65,11,239,15,6,10,6,248,266,24,7,1.1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,0,0,8632,-1,normal,BCNET_regular
69,7,712,45,6,14,6,783,1201,55,7,1.1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69,0,0,10012,-1,normal,BCNET_regular
58,6,252,36,7,13,7,255,202,37,7,0.9,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,0,0,8638,-1,normal,BCNET_regular
70,9,361,52,6,12,6,387,391,69,7,1.1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,0,0,8547,-1,normal,BCNET_regular
74,13,275,37,6,11,6,284,235,58,6,1.2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,7708,-1,normal,BCNET_regular
65,13,367,120,5,7,5,467,529,195,6,1.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,8248,-1,normal,BCNET_regular
72,6,594,11,6,14,6,646,216,13,7,1.1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,0,0,9371,-1,normal,BCNET_regular
53,3,207,6,6,12,6,218,191,7,7,0.9,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55,0,0,8049,-1,normal,BCNET_regular
37,10,192,35,6,14,6,222,139,54,6,0.6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,8867,-1,normal,BCNET_regular
40,6,265,23,6,11,6,361,100,27,6,0.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,8215,-1,normal,BCNET_regular
57,7,220,16,6,11,6,229,168,23,8,0.9,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,59,0,0,7766,-1,normal,BCNET_regular
66,9,563,19,6,8,5,601,240,34,8,1.1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,69,0,0,9658,-1,normal,BCNET_regular
61,7,206,20,5,11,5,213,154,20,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,7585,-1,normal,BCNET_regular
65,6,296,12,5,9,5,338,224,15,6,1.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,8270,-1,normal,BCNET_regular
73,11,674,39,6,10,6,728,1129,58,7,1.2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74,0,0,9473,-1,normal,BCNET_regular
63,10,330,31,6,14,6,336,254,49,7,1.1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,68,0,0,8121,-1,normal,BCNET_regular
62,10,265,48,5,17,6,284,120,52,8,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,65,0,0,7384,-1,normal,BCNET_regular
56,8,204,17,5,10,5,227,155,23,7,0.9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59,0,0,7609,-1,normal,BCNET_regular
54,9,220,20,5,10,5,303,135,29,6,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,7895,-1,normal,BCNET_regular
57,10,227,20,5,10,5,230,135,25,6,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,7901,-1,normal,BCNET_regular
59,12,220,23,6,14,6,228,235,37,7,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,0,0,8242,-1,normal,BCNET_regular
54,9,180,21,6,8,6,211,62,24,8,0.9,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55,0,0,6964,-1,normal,BCNET_regular
52,9,223,18,5,10,5,230,137,29,7,0.8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54,0,0,8908,-1,normal,BCNET_regular
62,6,388,13,5,10,5,473,181,19,7,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63,0,0,9150,-1,normal,BCNET_regular
64,7,200,12,6,13,5,208,140,17,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,7244,-1,normal,BCNET_regular
62,9,263,18,5,14,5,301,164,32,7,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64,0,0,8100,-1,normal,BCNET_regular
67,8,494,22,5,7,5,533,235,34,7,1.1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,0,0,8133,-1,normal,BCNET_regular
57,8,262,23,5,11,5,348,116,31,6,0.9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,7208,-1,normal,BCNET_regular
77,11,634,22,5,8,5,771,263,33,8,1.3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79,0,0,9177,-1,normal,BCNET_regular
60,6,582,10,6,18,6,588,328,11,7,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,63,0,0,8489,-1,normal,BCNET_regular
56,8,488,17,5,7,5,586,379,28,6,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,8878,-1,normal,BCNET_regular
58,7,298,17,5,7,5,401,178,18,6,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,8071,-1,normal,BCNET_regular
60,7,348,11,7,23,7,352,136,13,7,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,8079,-1,normal,BCNET_regular
83,13,569,16,6,10,6,584,576,23,7,1.4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86,0,0,9492,-1,normal,BCNET_regular
82,13,420,23,5,10,5,436,377,27,8,1.4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85,0,0,8868,-1,normal,BCNET_regular
71,11,552,34,6,12,6,592,210,38,8,1.2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,0,0,10145,-1,normal,BCNET_regular
75,6,292,16,6,15,6,319,199,21,8,1.2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,75,0,0,7952,-1,normal,BCNET_regular
79,11,299,35,7,20,7,324,287,62,8,1.3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,84,0,0,7739,-1,normal,BCNET_regular
50,9,212,26,5,8,5,240,115,38,6,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,7783,-1,normal,BCNET_regular
92,9,801,29,6,12,6,951,701,41,7,1.5,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,0,0,9764,-1,normal,BCNET_regular
51,14,263,47,6,10,6,300,204,56,8,0.8,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53,0,0,8022,-1,normal,BCNET_regular
66,7,266,41,5,10,6,305,237,68,7,1.1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,0,0,8422,-1,normal,BCNET_regular
69,10,452,31,6,15,6,480,158,44,9,1.1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,71,0,0,8767,-1,normal,BCNET_regular
57,3,641,4,5,9,5,846,635,4,6,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,9057,-1,normal,BCNET_regular
54,10,285,14,6,11,6,286,144,17,8,0.9,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,57,0,0,8787,-1,normal,BCNET_regular
72,9,606,19,5,10,5,609,494,35,10,1.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,74,0,0,9090,-1,normal,BCNET_regular
84,13,711,46,5,15,6,726,448,92,6,1.4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,10004,-1,normal,BCNET_regular
62,13,196,37,6,11,6,197,217,54,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,8509,-1,normal,BCNET_regular
64,13,312,33,7,23,7,334,281,42,8,1.1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68,0,0,8217,-1,normal,BCNET_regular
83,7,624,22,6,15,6,660,409,30,8,1.4,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,85,0,0,8781,-1,normal,BCNET_regular
54,6,137,9,6,15,6,136,99,12,7,0.9,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56,0,0,6832,-1,normal,BCNET_regular
56,11,247,30,5,9,5,350,158,48,5,0.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,8166,-1,normal,BCNET_regular
76,9,588,17,6,13,6,623,238,29,8,1.3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,79,0,0,9355,-1,normal,BCNET_regular
65,5,420,9,6,10,5,496,510,11,6,1.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,8603,-1,normal,BCNET_regular
58,10,266,12,5,8,5,272,104,15,7,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,0,0,7954,-1,normal,BCNET_regular
50,6,211,10,6,14,6,228,158,13,7,0.8,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,0,0,7924,-1,normal,BCNET_regular
35,3,209,9,5,9,5,243,118,15,5,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,8353,-1,normal,BCNET_regular
56,8,222,28,6,11,6,227,164,48,8,0.9,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,57,0,0,8097,-1,normal,BCNET_regular
55,10,162,34,7,21,6,201,98,53,8,0.9,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,60,0,0,6998,-1,normal,BCNET_regular
